Time (Seconds),Amplitude (Volts),,Time (Seconds),,,,Amplitude (Volts)
370,0.38947794,,,,,,-0.38947794
371,0.41662517,,,,,,-0.41662517
372,0.42123199,,,,,,-0.42123199
373,0.42123199,,,,,,-0.42123199
374,0.4309392,,,,,,-0.4309392
375,0.45117623,,,,,,-0.45117623
376,0.44739208,,,,,,-0.44739208
377,0.43686223,,,,,,-0.43686223
378,0.4401528,,,,,,-0.4401528
379,0.42830673,,,,,,-0.42830673
380,0.4024757,,,,,,-0.4024757
381,0.39655268,,,,,,-0.39655268
382,0.39408475,,,,,,-0.39408475
383,0.37401223,,,,,,-0.37401223
384,0.36167258,,,,,,-0.36167258
385,0.36710203,,,,,,-0.36710203
386,0.36545676,,,,,,-0.36545676
387,0.36134353,,,,,,-0.36134353
388,0.35163635,,,,,,-0.35163635
389,0.3577239,,,,,,-0.3577239
390,0.3628243,,,,,,-0.3628243
391,0.35690126,,,,,,-0.35690126
392,0.34949747,,,,,,-0.34949747
393,0.34785217,,,,,,-0.34785217
394,0.34949747,,,,,,-0.34949747
395,0.3565722,,,,,,-0.3565722
396,0.3605209,,,,,,-0.3605209
397,0.3462069,,,,,,-0.3462069
398,0.33633518,,,,,,-0.33633518
399,0.35673672,,,,,,-0.35673672
400,0.36825374,,,,,,-0.36825374
401,0.35509145,,,,,,-0.35509145
402,0.3514718,,,,,,-0.3514718
403,0.35788843,,,,,,-0.35788843
404,0.35969824,,,,,,-0.35969824
405,0.3606854,,,,,,-0.3606854
406,0.36529222,,,,,,-0.36529222
407,0.36496317,,,,,,-0.36496317
408,0.35755938,,,,,,-0.35755938
409,0.3623307,,,,,,-0.3623307
410,0.37450582,,,,,,-0.37450582
411,0.37286055,,,,,,-0.37286055
412,0.3835549,,,,,,-0.3835549
413,0.38783264,,,,,,-0.38783264
414,0.37582207,,,,,,-0.37582207
415,0.36430505,,,,,,-0.36430505
416,0.36216617,,,,,,-0.36216617
417,0.35788843,,,,,,-0.35788843
418,0.35295257,,,,,,-0.35295257
419,0.34702954,,,,,,-0.34702954
420,0.3554205,,,,,,-0.3554205
421,0.3508137,,,,,,-0.3508137
422,0.34900388,,,,,,-0.34900388
423,0.3462069,,,,,,-0.3462069
424,0.34653595,,,,,,-0.34653595
425,0.36776015,,,,,,-0.36776015
426,0.37286055,,,,,,-0.37286055
427,0.39523646,,,,,,-0.39523646
428,0.41991577,,,,,,-0.41991577
429,0.42550975,,,,,,-0.42550975
430,0.44229168,,,,,,-0.44229168
431,0.46335137,,,,,,-0.46335137
432,0.46960345,,,,,,-0.46960345
433,0.47009704,,,,,,-0.47009704
434,0.4766782,,,,,,-0.4766782
435,0.49592808,,,,,,-0.49592808
436,0.49938318,,,,,,-0.49938318
437,0.50316733,,,,,,-0.50316733
438,0.50250924,,,,,,-0.50250924
439,0.48227218,,,,,,-0.48227218
440,0.46730006,,,,,,-0.46730006
441,0.46845174,,,,,,-0.46845174
442,0.46055436,,,,,,-0.46055436
443,0.4556185,,,,,,-0.4556185
444,0.4572638,,,,,,-0.4572638
445,0.46088344,,,,,,-0.46088344
446,0.44229168,,,,,,-0.44229168
447,0.43949467,,,,,,-0.43949467
448,0.42731956,,,,,,-0.42731956
449,0.4167897,,,,,,-0.4167897
450,0.42386445,,,,,,-0.42386445
451,0.41481537,,,,,,-0.41481537
452,0.40708253,,,,,,-0.40708253
453,0.41234744,,,,,,-0.41234744
454,0.4161316,,,,,,-0.4161316
455,0.40445006,,,,,,-0.40445006
456,0.4087278,,,,,,-0.4087278
