Time (Seconds),Amplitude (Volts),,Time (Seconds)
1180,-0.5530196,,
1181,-0.5044836,,
1182,-0.43998826,,
1183,-0.39540097,,
1184,-0.3697345,,
1185,-0.37977076,,
1186,-0.50234467,,
1187,-0.64926904,,
1188,-0.70175385,,
1189,-0.64235884,,
1190,-0.54347694,,
1191,-0.49806693,,
1192,-0.4572638,,
1193,-0.39918515,,
1194,-0.37746733,,
1195,-0.3675956,,
1196,-0.46154153,,
1197,-0.5747374,,
1198,-0.61192095,,
1199,-0.56141055,,
1200,-0.45282152,,
1201,-0.3588756,,
1202,-0.27924377,,
1203,-0.20948365,,
1204,-0.16999683,,
1205,-0.18447533,,
1206,-0.28434414,,
1207,-0.39688173,,
1208,-0.40198213,,
1209,-0.33962575,,
1210,-0.22511387,,
1211,-0.104843594,,
1212,0.0080228,,
1213,0.09950045,,
1214,0.14918792,,
1215,0.16350186,,
1216,0.08271858,,
1217,-0.03261567,,
1218,-0.05449793,,
1219,0.03237297,,
1220,0.12664758,,
1221,0.19492671,,
1222,0.27455822,,
1223,0.35912552,,
1224,0.3833111,,
1225,0.40091556,,
1226,0.2809748,,
1227,0.1531366,,
1228,0.12171174,,
1229,0.17584145,,
1230,0.2533341,,
1231,0.3110834,,
1232,0.35994816,,
1233,0.4111163,,
1234,0.45010936,,
1235,0.44237655,,
1236,0.31601924,,
1237,0.17913201,,
1238,0.14655547,,
1239,0.2125312,,
1240,0.30203438,,
1241,0.3637323,,
1242,0.4260883,,
1243,0.4741304,,
1244,0.48943147,,
1245,0.46557495,,
1246,0.3318139,,
1247,0.20578554,,
1248,0.19163615,,
1249,0.2650156,,
1250,0.34760857,,
1251,0.41095176,,
1252,0.50193554,,
1253,0.5572168,,
1254,0.5828831,,
1255,0.56462055,,
1256,0.43053055,,
1257,0.2832782,,
1258,0.22470626,,
1259,0.25991523,,
1260,0.3548478,,
1261,0.4056869,,
1262,0.45389348,,
1263,0.50983286,,
1264,0.5287536,,
1265,0.5065423,,
1266,0.37228775,,
1267,0.21467006,,
1268,0.19871084,,
1269,0.26847067,,
1270,0.33576256,,
1271,0.37426206,,
1272,0.4260883,,
1273,0.45537424,,
1274,0.4545516,,
1275,0.41193894,,
1276,0.2921627,,
1277,0.1602113,,
1278,0.107562326,,
1279,0.15001056,,
