Time (Seconds),Amplitude (Volts),Time (Seconds)
1383,-0.65831816,
1384,-0.6708224,
1385,-0.6523951,
1386,-0.6227799,
1387,-0.5928356,
1388,-0.5661819,
1389,-0.5391992,
1390,-0.52982104,
1391,-0.55779094,
1392,-0.61126286,
1393,-0.65864724,
1394,-0.66786087,
1395,-0.6523951,
1396,-0.6329807,
1397,-0.60797226,
1398,-0.5790152,
1399,-0.55663925,
1400,-0.5462739,
1401,-0.5855963,
1402,-0.6403845,
1403,-0.6839847,
1404,-0.69188213,
1405,-0.67213863,
1406,-0.63890374,
1407,-0.6061625,
1408,-0.59184843,
1409,-0.5827993,
1410,-0.5730921,
1411,-0.6005685,
1412,-0.6566729,
1413,-0.69533724,
1414,-0.7006022,
1415,-0.6795424,
1416,-0.6466366,
1417,-0.6086304,
1418,-0.58806425,
1419,-0.5791797,
1420,-0.5732567,
1421,-0.60484624,
1422,-0.6637476,
1423,-0.7070188,
1424,-0.7093222,
1425,-0.68480736,
1426,-0.6505853,
1427,-0.6120855,
1428,-0.58740616,
1429,-0.5717759,
1430,-0.57358575,
1431,-0.61471796,
1432,-0.66210234,
