Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,Time (Seconds),,,
1.09,-0.031880167,,,,,,,
1.092,-0.029361014,,,,,,,
1.094,-0.026906186,,,,,,,
1.096,-0.024543426,,,,,,,
1.098,-0.022298263,,,,,,,
1.1,-0.02019366,,,,,,,
1.102,-0.018249699,,,,,,,
1.104,-0.016483292,,,,,,,
1.106,-0.014907946,,,,,,,
1.108,-0.013533573,,,,,,,
1.11,-0.012366375,,,,,,,
1.112,-0.011408804,,,,,,,
1.114,-0.010659617,,,,,,,
1.116,-0.010114007,,,,,,,
1.118,-0.009763824,,,,,,,
1.12,-0.009597858,,,,,,,
1.122,-0.009602179,,,,,,,
1.124,-0.009760512,,,,,,,
1.126,-0.010054644,,,,,,,
1.128,-0.010464844,,,,,,,
1.13,-0.010970307,,,,,,,
1.132,-0.011549596,,,,,,,
1.134,-0.012181087,,,,,,,
1.136,-0.012843404,,,,,,,
1.138,-0.013515822,,,,,,,
1.14,-0.014178644,,,,,,,
1.142,-0.014813516,,,,,,,
1.144,-0.015403696,,,,,,,
1.146,-0.015934265,,,,,,,
1.148,-0.016392292,,,,,,,
1.15,-0.016766964,,,,,,,
1.152,-0.017049679,,,,,,,
1.154,-0.017234127,,,,,,,
1.156,-0.017316343,,,,,,,
1.158,-0.017294734,,,,,,,
1.16,-0.017170084,,,,,,,
1.162,-0.016945514,,,,,,,
1.164,-0.016626408,,,,,,,
1.166,-0.016220306,,,,,,,
1.168,-0.015736768,,,,,,,
1.17,-0.015187225,,,,,,,
1.172,-0.014584816,,,,,,,
1.174,-0.013944235,,,,,,,
1.176,-0.013281566,,,,,,,
1.178,-0.01261412,,,,,,,
1.18,-0.011960257,,,,,,,
1.182,-0.011339186,,,,,,,
1.184,-0.010770746,,,,,,,
1.186,-0.010275169,,,,,,,
1.188,-0.009872827,,,,,,,
1.19,-0.009583979,,,,,,,
1.192,-0.009428525,,,,,,,
1.194,-0.009425776,,,,,,,
1.196,-0.009594226,,,,,,,
1.198,-0.009951352,,,,,,,
1.2,-0.0105134,,,,,,,
1.202,-0.011295181,,,,,,,
1.204,-0.012309856,,,,,,,
1.206,-0.013568721,,,,,,,
1.208,-0.015081001,,,,,,,
1.21,-0.016853659,,,,,,,
1.212,-0.018891234,,,,,,,
1.214,-0.021195715,,,,,,,
1.216,-0.023766465,,,,,,,
1.218,-0.026600179,,,,,,,
1.22,-0.029690879,,,,,,,
1.222,-0.03302995,,,,,,,
1.224,-0.036606194,,,,,,,
1.226,-0.040405934,,,,,,,
1.228,-0.044413134,,,,,,,
1.23,-0.048609579,,,,,,,
1.232,-0.05297509,,,,,,,
1.234,-0.057487778,,,,,,,
1.236,-0.062124342,,,,,,,
1.238,-0.06686038,,,,,,,
1.24,-0.071670714,,,,,,,
1.242,-0.076529705,,,,,,,
1.244,-0.081411559,,,,,,,
1.246,-0.086290612,,,,,,,
1.248,-0.091141608,,,,,,,
1.25,-0.095939964,,,,,,,
1.252,-0.100662026,,,,,,,
1.254,-0.105285332,,,,,,,
1.256,-0.109788844,,,,,,,
1.258,-0.114153177,,,,,,,
1.26,-0.118360779,,,,,,,
1.262,-0.122396072,,,,,,,
1.264,-0.126245539,,,,,,,
1.266,-0.129897755,,,,,,,
1.268,-0.133343381,,,,,,,
1.27,-0.136575111,,,,,,,
1.272,-0.139587601,,,,,,,
1.274,-0.142377372,,,,,,,
1.276,-0.144942703,,,,,,,
1.278,-0.147283503,,,,,,,
1.28,-0.149401171,,,,,,,
1.282,-0.151298434,,,,,,,
1.284,-0.152979182,,,,,,,
1.286,-0.154448292,,,,,,,
1.288,-0.155711476,,,,,,,
1.29,-0.156775148,,,,,,,
1.292,-0.157646334,,,,,,,
1.294,-0.158332632,,,,,,,
1.296,-0.158842215,,,,,,,
1.298,-0.159183875,,,,,,,
1.3,-0.159367094,,,,,,,
1.302,-0.159402127,,,,,,,
1.304,-0.159300099,,,,,,,
1.306,-0.159073089,,,,,,,
1.308,-0.158734223,,,,,,,
1.31,-0.15829775,,,,,,,
1.312,-0.15777912,,,,,,,
1.314,-0.15719505,,,,,,,
1.316,-0.156563568,,,,,,,
1.318,-0.155904029,,,,,,,
1.32,-0.15523708,,,,,,,
1.322,-0.154584579,,,,,,,
1.324,-0.153969451,,,,,,,
1.326,-0.15341548,,,,,,,
1.328,-0.15294706,,,,,,,
1.33,-0.152588906,,,,,,,
1.332,-0.152365737,,,,,,,
1.334,-0.152301952,,,,,,,
1.336,-0.152421289,,,,,,,
1.338,-0.15274649,,,,,,,
1.34,-0.153298955,,,,,,,
1.342,-0.154098393,,,,,,,
1.344,-0.155162471,,,,,,,
1.346,-0.156506476,,,,,,,
1.348,-0.158142991,,,,,,,
1.35,-0.160081612,,,,,,,
1.352,-0.162328702,,,,,,,
1.354,-0.164887208,,,,,,,
1.356,-0.167756526,,,,,,,
1.358,-0.170932428,,,,,,,
1.36,-0.174407026,,,,,,,
1.362,-0.178168784,,,,,,,
1.364,-0.182202561,,,,,,,
1.366,-0.186489688,,,,,,,
1.368,-0.19100808,,,,,,,
1.37,-0.19573238,,,,,,,
1.372,-0.200634139,,,,,,,
1.374,-0.205682023,,,,,,,
1.376,-0.210842036,,,,,,,
1.378,-0.216077753,,,,,,,
1.38,-0.221350545,,,,,,,
1.382,-0.226619793,,,,,,,
1.384,-0.231843081,,,,,,,
1.386,-0.23697638,,,,,,,
1.388,-0.241974239,,,,,,,
1.39,-0.24678997,,,,,,,
1.392,-0.251375876,,,,,,,
1.394,-0.255683488,,,,,,,
1.396,-0.259663856,,,,,,,
1.398,-0.263267843,,,,,,,
1.4,-0.266446462,,,,,,,
1.402,-0.269151216,,,,,,,
1.404,-0.271334453,,,,,,,
1.406,-0.272949736,,,,,,,
1.408,-0.273952232,,,,,,,
1.41,-0.274299115,,,,,,,
1.412,-0.273950002,,,,,,,
1.414,-0.272867399,,,,,,,
1.416,-0.27101716,,,,,,,
1.418,-0.268368945,,,,,,,
1.42,-0.264896648,,,,,,,
1.422,-0.260578802,,,,,,,
1.424,-0.255398926,,,,,,,
1.426,-0.249345828,,,,,,,
1.428,-0.242413846,,,,,,,
1.43,-0.234603053,,,,,,,
1.432,-0.225919391,,,,,,,
1.434,-0.216374776,,,,,,,
1.436,-0.20598713,,,,,,,
1.438,-0.194780361,,,,,,,
1.44,-0.182784261,,,,,,,
1.442,-0.17003433,,,,,,,
1.444,-0.156571507,,,,,,,
1.446,-0.142441827,,,,,,,
1.448,-0.127695996,,,,,,,
1.45,-0.112388905,,,,,,,
1.452,-0.096579095,,,,,,,
1.454,-0.080328171,,,,,,,
1.456,-0.063700186,,,,,,,
1.458,-0.046760991,,,,,,,
1.46,-0.029577566,,,,,,,
1.462,-0.012217327,,,,,,,
1.464,0.005252566,,,,,,,
1.466,0.02276589,,,,,,,
1.468,0.040257999,,,,,,,
1.47,0.057666419,,,,,,,
1.472,0.074931367,,,,,,,
1.474,0.091996183,,,,,,,
1.476,0.10880769,,,,,,,
1.478,0.125316459,,,,,,,
1.48,0.141477005,,,,,,,
1.482,0.157247909,,,,,,,
1.484,0.172591878,,,,,,,
1.486,0.187475735,,,,,,,
1.488,0.201870352,,,,,,,
1.49,0.215750506,,,,,,,
1.492,0.229094682,,,,,,,
1.494,0.241884819,,,,,,,
1.496,0.254106005,,,,,,,
1.498,0.26574616,,,,,,,
1.5,0.276795709,,,,,,,
1.502,0.287247264,,,,,,,
1.504,0.297095339,,,,,,,
1.506,0.306336096,,,,,,,
1.508,0.314967125,,,,,,,
1.51,0.322987261,,,,,,,
1.512,0.330396429,,,,,,,
1.514,0.337195528,,,,,,,
1.516,0.343386344,,,,,,,
1.518,0.348971505,,,,,,,
1.52,0.353954483,,,,,,,
1.522,0.35833963,,,,,,,
1.524,0.362132259,,,,,,,
1.526,0.365338749,,,,,,,
1.528,0.367966661,,,,,,,
1.53,0.370024845,,,,,,,
1.532,0.371523528,,,,,,,
1.534,0.372474365,,,,,,,
1.536,0.372890459,,,,,,,
1.538,0.372786339,,,,,,,
1.54,0.372177912,,,,,,,
1.542,0.371082385,,,,,,,
1.544,0.369518167,,,,,,,
1.546,0.367504753,,,,,,,
1.548,0.365062576,,,,,,,
1.55,0.362212837,,,,,,,
1.552,0.358977307,,,,,,,
1.554,0.355378112,,,,,,,
